objid,specobjid,u,g,r,i,z_mag,z,zErr,velDisp,snMedian,class,subClass,type,petroR50_r,petroR90_r,q_r,u_r,fracDeV_r,flags,plate,mjd,fiberID,ra,dec
1237654600491729038,6.462701594508268e+17,25.63686,23.21796,24.94103,20.74328,22.8602,0.1167237,3.068281e-05,205.3796,14.19536,GALAXY,,3,5.463102,5.851092,0.3283433,-0.1336632,0.0,316728336847120,574.0,52355.0,13.0,154.7668095021318,3.5112625684455883
1237651736317198782,4.5137339208027566e+18,18.41767,16.69807,15.78751,15.29691,14.87792,0.0475109,9.504823e-06,138.9025,29.3961,GALAXY,STARFORMING,3,3.445051,9.397349,0.3907411,-0.03232408,0.6151993,35253360132112,4009.0,55648.0,4.0,233.43359513317665,1.5109399537326311
1237662239077630230,1.386126592186542e+18,19.40829,17.47975,16.55064,16.12927,15.79441,0.06936611,2.161523e-05,174.717,26.90244,GALAXY,,3,1.367475,3.922939,-0.04649168,0.1206908,1.0,35253360136208,1231.0,52725.0,523.0,186.4265455719566,11.094555482851472
1237667209965142688,2.550210904515963e+18,22.46042,21.88576,22.10775,21.88572,21.68866,0.05040659,2.64967e-05,69.89002,12.84533,GALAXY,,6,0.7590372,1.329822,-0.0864291,-0.05893094,0.0,263951812263952,2265.0,53674.0,173.0,119.6875771284474,12.287121531903608
1237651752953184438,6.02382047343831e+17,20.88562,18.65473,17.42211,16.85588,16.37706,0.136534,3.860299e-05,196.2678,11.63015,GALAXY,,3,1.592253,4.939363,-0.176247,-0.2088245,0.8351278,68987912448,535.0,51999.0,93.0,217.9517989610798,1.3757757510735753
1237645943433855125,4.583586654857728e+17,23.68329,24.40541,22.46611,21.18522,20.30036,0.1497766,2.288623e-05,174.223,10.51163,GALAXY,,6,0.4164034,0.6837906,0.1374218,-0.0966733,1.0,105622104179472,407.0,51820.0,427.0,37.59941717846607,0.5791117889454757
1237650803195183130,,19.85826,18.46239,18.00609,17.75184,17.74115,,,,,,,3,4.225113,12.25842,-0.4783799,0.1112729,0.3550824,246393952407640,,,,154.64062600220208,-3.3088071643200463
1237651736303173931,5.93468587209943e+17,24.47005,25.10102,23.61347,21.4921,21.06004,0.110555,3.830197e-05,127.1803,8.775155,GALAXY,,6,0.366932,3.444101,0.1501283,0.5757309,0.0,387099228508944,527.0,52342.0,434.0,201.4129130688925,2.305960028397005
1237650371008987269,,24.21716,24.72508,24.64281,21.41756,22.82956,,,,,,,6,0.4605848,0.8050932,0.1124535,0.1485321,1.0,316728370401552,,,,157.56911195813956,-1.879980011977292
1237662637985038676,2.837328590167632e+18,18.81659,16.85532,15.97021,15.53575,15.21772,0.07165103,9.752356e-06,151.8401,44.21737,GALAXY,,3,2.115469,6.320285,0.2782721,-0.04910788,0.8298091,35253360132112,2520.0,54584.0,221.0,237.79035634777628,10.008819197611762
1237648703492784298,,19.95993,17.9347,16.89933,16.38159,15.97185,,,,,,,3,2.605425,7.0446,-0.2471777,-0.09481892,0.7344876,68988048128,,,,159.32124474249517,-0.6866176746118099
1237668271896199488,2.9465274107381944e+18,23.28655,22.4999,21.06813,20.49903,20.23377,0.1426513,3.491247e-05,187.7404,12.81258,GALAXY,,3,0.680205,1.346347,-0.09785587,-0.07115062,0.7591807,160608490225992,2617.0,54502.0,172.0,196.98488797817623,19.47294304932221
1237651752927691452,5.68595434746964e+17,22.62449,22.79602,22.8726,22.70348,21.12399,0.06338404,1.395759e-05,82.37772,9.326191,GALAXY,STARFORMING,6,0.3693039,0.7795315,0.04559144,-0.1608825,1.0,281543964758016,505.0,52317.0,58.0,159.72923365895863,1.5502993990295872
1237665129055912013,2.3442096991691346e+18,19.73809,17.7075,16.73299,16.29304,15.95762,0.07919145,2.018724e-05,165.5563,19.39707,GALAXY,,3,1.507339,4.531175,0.1989552,0.1903382,0.9642079,35253360660496,2082.0,53358.0,313.0,122.76203790152093,18.75815285999404
1237665440988594373,6.773596460384803e+18,19.35106,17.48488,16.49513,16.04759,15.68801,0.08446152,1.613722e-05,185.2894,27.38386,GALAXY,,3,2.148312,6.22943,-0.183537,0.3222019,0.7580079,68987912960,6016.0,56073.0,664.0,219.3007710952439,24.76626658345347
1237658300073836686,1.1293955734938849e+18,20.51707,18.65554,17.63966,17.1683,16.82361,0.1036344,5.091671e-05,190.3213,8.452885,GALAXY,,3,2.250411,6.034047,-0.2050078,-0.08742754,0.9690784,17661174087936,1003.0,52641.0,429.0,165.21608063871702,7.690469646940983
1237652934573293860,1.325257905011714e+18,24.20669,24.76797,24.50256,22.78636,22.51634,0.05166339,9.985944e-06,119.576,21.16864,GALAXY,AGN,6,0.2604313,0.353203,-0.5644222,1.655583,0.0,316728370401552,1177.0,52824.0,268.0,324.88509734346513,-8.052691581770299
1237658298452279560,1.1158248523353559e+18,21.26381,18.70941,17.7279,17.34528,17.12542,0.1300653,3.411777e-05,170.0334,13.37632,GALAXY,,6,0.7275627,1.652688,0.0148953,-0.02744752,1.0,35255507619856,991.0,52707.0,211.0,140.17602840324463,4.594515724474223
1237665547824529615,3.14703490195865e+18,20.47803,18.32861,17.22118,16.69224,16.27598,0.1096141,2.848318e-05,176.8967,14.39321,GALAXY,,3,2.133461,6.605161,-0.2392783,0.3930919,0.7671131,35253360136208,2795.0,54563.0,526.0,234.6525568469448,17.4335901135424
1237654604788990024,6.508232368330117e+17,19.7847,17.61373,16.61259,16.09935,15.70199,0.08245721,2.023206e-05,141.3331,19.21004,GALAXY,,3,2.486857,7.476275,-0.1426037,-0.367299,0.2858736,105656464052312,578.0,52339.0,193.0,160.4352235184397,3.974932468745642
1237648721213653155,5.338057820141261e+17,20.57509,18.43988,17.32524,16.86565,16.48835,0.1383421,2.953562e-05,201.0284,15.83465,GALAXY,,3,1.657091,4.604848,0.0915689,-0.1892616,0.9270585,217164415488,474.0,52000.0,470.0,141.00094761102915,-0.0924149501753181
1237654602100244659,6.441492004135506e+17,20.61098,18.46209,17.33105,16.82257,16.40914,0.1249599,3.277219e-05,193.8966,12.846,GALAXY,,3,1.73528,4.77307,-0.04787974,-0.2852077,0.5795048,68987912192,572.0,52289.0,489.0,149.87983365240436,4.536274209739282
1237660025021203288,1.152935845670447e+18,25.03477,24.13799,22.96691,23.00163,21.79562,0.1203119,2.400422e-05,121.7973,9.85648,GALAXY,STARFORMING,6,0.4244765,0.7176158,-0.003705918,-0.07630343,0.0,316728370266384,1024.0,52826.0,52.0,315.68417497597125,-0.6656524744819863
1237655692477202774,1.035992606611368e+18,18.90739,17.08452,16.20763,15.80895,15.45872,0.04307652,1.44542e-05,110.4909,24.13541,GALAXY,,3,2.735419,8.375608,0.07184573,-0.1237978,1.0,193583034531856,920.0,52411.0,599.0,222.40681433191472,-1.9711366622098951
1237657362155569275,4.4592236427479654e+17,25.08624,23.20664,23.6734,22.90197,23.01369,0.0500693,1.296256e-05,136.2937,27.61572,GALAXY,,3,0.6623186,2.408318,0.5842332,-0.3512875,0.0,316728370397456,396.0,51816.0,240.0,15.845547831258,-0.4692851462339961
1237661948645671177,1.8195139511305114e+18,19.49507,17.51689,16.48331,15.99998,15.60281,0.06596017,2.240334e-05,129.1927,15.44413,GALAXY,,3,2.680195,7.465743,0.1877629,-0.2045555,0.473005,2451688264520,1616.0,53169.0,217.0,188.97047118848707,11.61067214667828
1237652600105533787,8.062749372653507e+17,18.83633,16.97743,16.13368,15.73891,15.41712,0.0620699,1.191221e-05,113.9268,27.75672,GALAXY,,3,1.977204,5.798629,-0.3547875,0.1063799,0.7279977,68988043264,716.0,52203.0,475.0,329.2228619525012,-7.901529316275278
1237680076084019407,6.415382167011219e+18,20.06122,18.1704,17.03419,16.4787,16.01125,0.09515792,2.062972e-05,165.4489,20.05459,GALAXY,,3,1.921188,5.951421,-0.05066021,-0.340261,0.5012869,2278815826248,5698.0,55947.0,16.0,32.902784391453864,25.725715660834407
1237650761857630437,3.77297448625793e+17,19.92394,17.75706,16.75569,16.25788,15.69242,0.08382322,3.687438e-05,111.7665,9.477713,GALAXY,,3,3.681171,12.25727,0.2078764,-0.06761292,0.4575693,35287719870736,335.0,52000.0,440.0,188.9583496625849,-2.3847193487083453
1237662638523220328,2.840648565326375e+18,19.27938,17.647,16.77697,16.31088,15.98655,0.1271516,2.142356e-05,197.3011,16.51797,GALAXY,STARFORMING,3,2.107416,6.373153,-0.02911147,0.0001881934,0.987404,35253360132624,2523.0,54572.0,11.0,240.9400258092592,9.70617770647557
1237671140946870568,9.470151772854292e+17,24.38339,24.19043,23.88453,23.44646,22.02272,0.07286454,2.951103e-05,96.68277,11.17531,GALAXY,,6,0.5312985,0.801544,-0.003380889,0.03088805,0.0,387097114575120,841.0,52375.0,485.0,179.58007027677564,5.339162037560196
1237671260672360624,2.91835929178829e+18,20.99231,18.45362,17.28879,16.72306,16.20325,0.1192263,4.261041e-05,160.9716,10.7838,GALAXY,,3,2.522949,7.448912,-0.2880451,0.2597245,0.4327535,176025208229976,2592.0,54178.0,97.0,157.87496336829676,15.062630646898716
1237653651847839983,4.8080547158690406e+17,19.8072,18.10858,17.05369,16.48484,15.98161,0.1234032,3.868898e-05,181.1473,7.462816,GALAXY,,3,4.331179,11.50925,-0.3595225,0.1514415,0.5313647,35287719739664,427.0,51900.0,168.0,30.280638179016503,13.47553852045598
1237661386009149740,1.5098898210556744e+18,20.63891,18.43894,17.31192,16.78835,16.42139,0.1423985,3.283437e-05,183.9807,12.554,GALAXY,,3,1.704891,5.544424,-0.08135419,0.3156542,1.0,105622104314384,1341.0,52786.0,211.0,250.21527068509005,31.954307002208587
1237658492799484159,1.3455919965001748e+18,20.74699,18.74434,17.75566,17.23167,16.79055,0.09228197,2.400262e-05,114.3423,9.190073,GALAXY,STARFORMING,3,2.218608,6.498741,-0.2857879,-0.08743572,0.1809408,35253360136536,1195.0,52724.0,515.0,141.41253036516756,7.444502814948287
